"Property","Files","SizeGB","PDF","Excel","Word","Image","Email","Other"
"11 Stanwix","24274","41","15309","4768","1545","1239","890","523"
"20 Stanwix","26948","21.85","16681","4688","1463","2034","1797","285"
"275 Technology","2932","3.94","1845","835","153","50","21","28"
"4500 Cherry Creek","19472","27.62","12065","3483","893","1643","1001","387"
"Algonquin Commons","756","0.36","364","357","6","0","17","12"
"Allied Portfolio","16008","6.75","12518","3026","209","0","231","24"
"Bank Financial","57","0.04","52","4","0","0","0","1"
"Cascade","10985","7.68","8496","2106","331","1","5","46"
"CCA-Cranberry","43","0.02","41","1","0","0","1","0"
"CenterSquare","127460","130.97","96907","22604","4486","2308","386","769"
"Chapel Hills","3079","2.23","2149","779","122","1","6","22"
"College Hills","6906","6.36","5249","1157","359","55","67","19"
"East Gate","28794","15.53","14513","13029","809","4","253","186"
"Elston Plaza","152","0.05","81","60","2","0","3","6"
"Fridley Market","475","1.13","305","72","42","48","8","0"
"Gateway Port Chester","8617","7.71","6052","2149","220","69","77","50"
"Knightdale Marketplace","11321","3.18","8614","2165","467","7","59","9"
"Magnolia","10857","5.31","8697","1655","383","2","80","40"
"Meridian","40333","19.29","25297","8834","1774","100","2268","2060"
"Met Life MRI and B & F Guidelines","22","0.03","11","1","8","0","0","2"
"Mililani","16673","16.62","11861","3229","1006","58","437","82"
"Miracle Mile","8052","8.24","5276","1250","205","1174","98","49"
"Nuveen Guidelines","46","0.03","38","4","4","0","0","0"
"OBP","3341","1.83","2589","463","131","1","156","1"
"Old Properties","125861","119.17","79219","25636","7602","7951","1657","3796"
"One East Erie","20161","16.84","12996","2806","1126","834","1431","968"
"Outlets of Maui","4147","2","3278","564","182","83","19","21"
"Overlook at Oakbrook","2467","0.8","1579","701","165","0","18","4"
"Parker Ranch","19749","10.07","11942","6940","521","30","3","313"
"Penn Center East","15251","13.63","10277","3955","482","146","71","320"
"Promenade at Bolingbrook","5420","5.63","3510","1095","299","314","150","52"
"Qtrly Investor Rptg","4357","10.89","3369","43","0","0","0","945"
"Relecom","239","0.08","18","219","0","0","0","2"
"SEIU Building (2229 Halsted)","4331","4","3076","681","295","68","137","74"
"Shops of Uptown","43","0.09","34","7","1","0","0","1"
"Silver Lake Village","857","1.95","621","64","146","4","17","5"
"Southlands","35201","60.78","15516","6432","4345","6731","106","2071"
"Sunrise","2326","1.54","1809","90","268","140","9","10"
"The Link at Fishers District","9310","10.8","6517","1527","549","318","51","348"
"Waterfront","20190","33.3","13122","4280","338","1531","79","840"
"WTP","9457","25.77","3435","2008","190","2076","234","1514"
"Yardi","10204","2.62","4303","4888","740","56","13","204"
