"Property","Container","VPath"
"11 Stanwix 2-15-17","","V:\11 Stanwix 2-15-17"
"20 Stanwix-PNC 8-14-15","","V:\20 Stanwix-PNC 8-14-15"
"275 & 285 Technology Drive 10-11-16","","V:\275 & 285 Technology Drive 10-11-16"
"4500 Cherry Creek 1-31-18","","V:\4500 Cherry Creek 1-31-18"
"ADP","ADP Properties","V:\ADP Properties\ADP"
"Agatite","ADP Properties","V:\ADP Properties\Agatite"
"Atlantic Crossings","ADP Properties","V:\ADP Properties\Atlantic Crossings"
"Broadway ADP","ADP Properties","V:\ADP Properties\Broadway ADP"
"Carlton ADP-180 E Pearson","ADP Properties","V:\ADP Properties\Carlton ADP-180 E Pearson"
"Carroll","ADP Properties","V:\ADP Properties\Carroll"
"El Paseo Pablo","ADP Properties","V:\ADP Properties\El Paseo Pablo"
"El Paseo Square","ADP Properties","V:\ADP Properties\El Paseo Square"
"Noyes","ADP Properties","V:\ADP Properties\Noyes"
"Ranchland","ADP Properties","V:\ADP Properties\Ranchland"
"Sheridan","ADP Properties","V:\ADP Properties\Sheridan"
"South San Francisco","ADP Properties","V:\ADP Properties\South San Francisco"
"Tukwila","ADP Properties","V:\ADP Properties\Tukwila"
"Twin Lakes","ADP Properties","V:\ADP Properties\Twin Lakes"
"Algonquin Commons 9-18-25","","V:\Algonquin Commons 9-18-25"
"BankFinancial Building 2-17-16","","V:\BankFinancial Building 2-17-16"
"Cascade Station 1-17-19","","V:\Cascade Station 1-17-19"
"CCA - Cranberry","","V:\CCA - Cranberry"
"CCA - Erie","","V:\CCA - Erie"
"CCA - Johnstown","","V:\CCA - Johnstown"
"CCA - State College Bldg","","V:\CCA - State College Bldg"
"CCA - Tech Center","","V:\CCA - Tech Center"
"Agua Caliente","Center Square Properties","V:\Center Square Properties\Agua Caliente"
"Arbor Crossing","Center Square Properties","V:\Center Square Properties\Arbor Crossing"
"Baron Shoppes","Center Square Properties","V:\Center Square Properties\Baron Shoppes"
"Barrett Creek","Center Square Properties","V:\Center Square Properties\Barrett Creek"
"Bay Area Shops (Shops at the Bay)","Center Square Properties","V:\Center Square Properties\Bay Area Shops (Shops at the Bay)"
"Bear Lake Shoppes","Center Square Properties","V:\Center Square Properties\Bear Lake Shoppes"
"Blue Diamond Marketplace","Center Square Properties","V:\Center Square Properties\Blue Diamond Marketplace"
"Cannery Corner","Center Square Properties","V:\Center Square Properties\Cannery Corner"
"Cedar Hill Shopping Center","Center Square Properties","V:\Center Square Properties\Cedar Hill Shopping Center"
"Collier Town Square","Center Square Properties","V:\Center Square Properties\Collier Town Square"
"Colonnade at King's Grant","Center Square Properties","V:\Center Square Properties\Colonnade at King's Grant"
"Commons at Harper's Preserve","Center Square Properties","V:\Center Square Properties\Commons at Harper's Preserve"
"Conyers Commons","Center Square Properties","V:\Center Square Properties\Conyers Commons"
"Deer Valley Hard Corner Shops","Center Square Properties","V:\Center Square Properties\Deer Valley Hard Corner Shops"
"Dunwoody Property","Center Square Properties","V:\Center Square Properties\Dunwoody Property"
"Fayetteville","Center Square Properties","V:\Center Square Properties\Fayetteville"
"Fort Lauderdale","Center Square Properties","V:\Center Square Properties\Fort Lauderdale"
"Fort Myers","Center Square Properties","V:\Center Square Properties\Fort Myers"
"Franklin Village Shopping Center","Center Square Properties","V:\Center Square Properties\Franklin Village Shopping Center"
"Freedom Commons","Center Square Properties","V:\Center Square Properties\Freedom Commons"
"Geneva Commons","Center Square Properties","V:\Center Square Properties\Geneva Commons"
"Gleannloch Crossing","Center Square Properties","V:\Center Square Properties\Gleannloch Crossing"
"Glendale Northwest","Center Square Properties","V:\Center Square Properties\Glendale Northwest"
"Gold Hill Commerce Park","Center Square Properties","V:\Center Square Properties\Gold Hill Commerce Park"
"Hillside Plaza","Center Square Properties","V:\Center Square Properties\Hillside Plaza"
