"Property","Files","SizeGB","PDF","Excel","Word","Image","Email","Other"
"11 Stanwix 2-15-17","1406","2.24","1393","8","0","0","5","0"
"20 Stanwix-PNC 8-14-15","955","1.77","942","5","0","2","6","0"
"275 & 285 Technology Drive 10-11-16","442","0.7","431","0","0","0","11","0"
"4500 Cherry Creek 1-31-18","947","1.85","929","14","0","0","3","1"
"ADP Properties","4582","4.06","3984","47","294","21","190","46"
"Algonquin Commons 9-18-25","681","1.32","674","1","2","4","0","0"
"BankFinancial Building 2-17-16","95","0.17","91","0","1","0","3","0"
"Cascade Station 1-17-19","1637","2.95","1625","5","0","3","3","1"
"CCA - Cranberry","22","0.07","22","0","0","0","0","0"
"CCA - Erie","3","0","3","0","0","0","0","0"
"CCA - Johnstown","1","0","1","0","0","0","0","0"
"CCA - State College Bldg","3","0.03","3","0","0","0","0","0"
"CCA - Tech Center","41","0.07","41","0","0","0","0","0"
"Center Square Properties","15576","49.15","15346","114","24","73","12","7"
"Chapel Hills East 3-1-24","369","0.62","368","1","0","0","0","0"
"College Hills 1-19-17","3754","5.08","3664","23","3","2","62","0"
"CVS Portfolio 4-30-20","123","1.29","123","0","0","0","0","0"
"DISPOSITIONS","57957","65.76","54849","411","99","881","1436","281"
"East Gate Square 11-10-15","4795","7.68","4517","22","2","168","81","5"
"Elston Plaza 3-25-26","81","0.14","81","0","0","0","0","0"
"ENTITY DOCS","3295","2.34","3285","1","3","0","6","0"
"Fridley Market 3-25-26","94","0.17","94","0","0","0","0","0"
"Gateway (Formerly Port Chester) 2-8-19","2459","4.83","2432","14","3","2","6","2"
"Knightdale Marketplace 7-15-19","1928","7.57","1798","7","18","32","27","46"
"M & J GENERAL","4440","7.13","4364","0","3","21","18","34"
"Magnolia Park 11-20-14","4398","18.87","4225","20","2","14","113","24"
"Meridian Plaza (II & III 3-5-18) & (I 7-5-18)","877","2.98","862","4","0","0","11","0"
"Miracle Mile 9-7-17","1938","10.06","1902","6","5","0","10","15"
"One East Erie 8-11-16","858","1.53","839","6","4","1","8","0"
"Outlets of Maui 9-1-21","1166","2.77","1143","0","2","0","7","14"
"Parker Ranch Center 12-22-05","8342","6.16","7576","11","13","3","738","1"
"Penn Center East 12-16-15","2831","5.03","2799","5","0","0","25","2"
"SEIU-2229 S Halsted 9-22-17","260","0.6","257","3","0","0","0","0"
"Shops of Uptown 6-22-26","6","0.02","6","0","0","0","0","0"
"Silver Lake Village 3-25-26","486","0.58","430","0","43","0","9","4"
"Southlands 3-16-18","6902","12.77","6689","48","74","59","22","10"
"Sunrise Properties 12-10-20","234","0.42","225","9","0","0","0","0"
"The Link at Fishers District  7-18-22","283","0.86","252","2","0","28","1","0"
"The Promenade at Bolingbrook 2-2-22","2500","5.79","2489","6","1","1","1","2"
"Town Center of Mililani 12-23-14","11435","29.51","10572","133","245","362","83","40"
"Water Tower Place 4-8-22","3289","3.58","3284","1","0","0","1","3"
"Waterfront 10-1-12","15297","19.11","12255","139","15","2656","146","86"
